Kind,Name,File,CountClassCoupled,CountDeclMethod,CountDeclMethodAll,CountClassDerived,CountLineCode,SumCyclomatic,PercentLackOfCohesion,MaxInheritanceTree,Path,class_frequency,will_change,number_of_changes,release
Public Class,com.oreilly.servlet.MailMessage,MailMessage.java,1.0,27.0,27.0,0.0,177.0,77,88.0,1.0,com.oreilly.servlet.MailMessage.MailMessage.java,1,0,0,1
Class,com.oreilly.servlet.MailPrintStream,MailMessage.java,0.0,5.0,5.0,0.0,34.0,15,80.0,2.0,com.oreilly.servlet.MailPrintStream.MailMessage.java,1,0,0,1
Public Class,org.apache.tools.ant.AllJUnitTests,AllJUnitTests.java,3.0,2.0,2.0,0.0,11.0,45,0.0,2.0,org.apache.tools.ant.AllJUnitTests.AllJUnitTests.java,1,0,0,1
Public Class,org.apache.tools.ant.BuildEvent,BuildEvent.java,3.0,11.0,11.0,0.0,50.0,88,72.0,2.0,org.apache.tools.ant.BuildEvent.BuildEvent.java,1,0,0,1
Public Class,org.apache.tools.ant.BuildException,BuildException.java,1.0,10.0,10.0,0.0,38.0,29,60.0,2.0,org.apache.tools.ant.BuildException.BuildException.java,1,1,0,1
Public Class,org.apache.tools.ant.DefaultLogger,DefaultLogger.java,5.0,9.0,9.0,0.0,65.0,26,72.0,1.0,org.apache.tools.ant.DefaultLogger.DefaultLogger.java,1,1,0,1
Public Class,org.apache.tools.ant.DesirableFilter,DesirableFilter.java,0.0,1.0,1.0,0.0,20.0,5,0.0,1.0,org.apache.tools.ant.DesirableFilter.DesirableFilter.java,1,0,0,1
Public Class,org.apache.tools.ant.DirectoryScanner,DirectoryScanner.java,0.0,19.0,19.0,0.0,390.0,74,83.0,1.0,org.apache.tools.ant.DirectoryScanner.DirectoryScanner.java,1,1,0,1
Public Abstract Class,org.apache.tools.ant.EnumeratedAttribute,EnumeratedAttribute.java,1.0,5.0,5.0,3.0,26.0,88,50.0,1.0,org.apache.tools.ant.EnumeratedAttribute.EnumeratedAttribute.java,1,0,0,1
Public Class,org.apache.tools.ant.EnumeratedAttributeTest,EnumeratedAttributeTest.java,4.0,3.0,3.0,0.0,51.0,10,33.0,2.0,org.apache.tools.ant.EnumeratedAttributeTest.EnumeratedAttributeTest.java,1,0,0,1
Public Static Class,org.apache.tools.ant.EnumeratedAttributeTest.TestNormal,EnumeratedAttributeTest.java,1.0,1.0,6.0,0.0,5.0,0,0.0,2.0,org.apache.tools.ant.EnumeratedAttributeTest.TestNormal.EnumeratedAttributeTest.java,1,0,0,1
Public Static Class,org.apache.tools.ant.EnumeratedAttributeTest.TestNull,EnumeratedAttributeTest.java,0.0,1.0,6.0,0.0,5.0,0,0.0,2.0,org.apache.tools.ant.EnumeratedAttributeTest.TestNull.EnumeratedAttributeTest.java,1,0,0,1
Public Class,org.apache.tools.ant.IntrospectionHelper,IntrospectionHelper.java,7.0,12.0,12.0,0.0,316.0,24,79.0,1.0,org.apache.tools.ant.IntrospectionHelper.IntrospectionHelper.java,1,1,0,1
Anonymous Class,org.apache.tools.ant.IntrospectionHelper.IntrospectionHelper.(for_loop_1).(Anon_1),IntrospectionHelper.java,1.0,1.0,1.0,0.0,6.0,0,0.0,1.0,org.apache.tools.ant.IntrospectionHelper.IntrospectionHelper.(for_loop_1).(Anon_1).IntrospectionHelper.java,1,0,0,1
Anonymous Class,org.apache.tools.ant.IntrospectionHelper.IntrospectionHelper.(for_loop_1).(Anon_2),IntrospectionHelper.java,1.0,1.0,1.0,0.0,7.0,0,0.0,1.0,org.apache.tools.ant.IntrospectionHelper.IntrospectionHelper.(for_loop_1).(Anon_2).IntrospectionHelper.java,1,0,0,1
Anonymous Class,org.apache.tools.ant.IntrospectionHelper.createAttributeSetter.(Anon_10),IntrospectionHelper.java,2.0,1.0,1.0,0.0,5.0,0,0.0,1.0,org.apache.tools.ant.IntrospectionHelper.createAttributeSetter.(Anon_10).IntrospectionHelper.java,1,0,0,1
Anonymous Class,org.apache.tools.ant.IntrospectionHelper.createAttributeSetter.(Anon_11),IntrospectionHelper.java,2.0,1.0,1.0,0.0,6.0,0,0.0,1.0,org.apache.tools.ant.IntrospectionHelper.createAttributeSetter.(Anon_11).IntrospectionHelper.java,1,0,0,1
Anonymous Class,org.apache.tools.ant.IntrospectionHelper.createAttributeSetter.(Anon_12),IntrospectionHelper.java,3.0,1.0,1.0,0.0,9.0,0,0.0,1.0,org.apache.tools.ant.IntrospectionHelper.createAttributeSetter.(Anon_12).IntrospectionHelper.java,1,0,0,1
