Kind,Name,File,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineBlank_Html,CountLineBlank_Javascript,CountLineBlank_Php,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineCode_Javascript,CountLineCode_Php,CountLineComment,CountLineComment_Html,CountLineComment_Javascript,CountLineComment_Php,CountLine_Html,CountLine_Javascript,CountLine_Php,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtDecl_Javascript,CountStmtDecl_Php,CountStmtExe,CountStmtExe_Javascript,CountStmtExe_Php,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
Package,"(Unnamed_Package)",Bootstrap.java,2,2,2,1,16,2,11,5,,,,,21,31,3,,21,,0,18,31,,2,8,0,21,,624,82,,,,424,143,241,,,191,,,,,,,,,,219,319,148,,,171,,,,,,,,6,6,6,1,,,3,,,,0,45,79,79,80,31
File,"ANTLR.java",ANTLR.java,2,2,2,1,10,0,9,0,,,,,1,0,0,9,,9,9,5,9,,0,3,0,6,,173,16,,,,96,28,54,,,61,,,,,,,,,,47,69,27,,,42,,,,,,,,5,5,8,4,,,3,,,,0,64,21,21,25,12
File,"ANTLRTest.java",ANTLRTest.java,1,1,1,1,3,0,3,0,,,,,2,0,1,10,,10,10,0,10,,0,0,0,10,,110,13,,,,41,18,14,,,56,,,,,,,,,,17,29,18,,,11,,,,,,,,1,1,1,1,,,0,,,,1,37,10,10,10,10
File,"ATIProjectBuilder.java",ATIProjectBuilder.java,3,3,4,1,26,2,23,1,,,,,1,0,3,6,,6,6,2,6,,0,4,1,1,,216,28,,,,171,69,83,,,18,,,,,,,,,,85,109,60,,,49,,,,,,,,9,9,9,1,,,3,,,,0,11,23,23,26,6
File,"AbstractAspectHandler.java",AbstractAspectHandler.java,1,1,1,1,4,0,4,0,,,,,1,0,0,14,,14,14,5,14,,0,0,6,8,,114,17,,,,84,35,19,,,13,,,,,,,,,,30,45,26,,,19,,,,,,,,1,1,1,1,,,0,,,,0,15,14,14,14,14
File,"AbstractAspectHandler.java",AbstractAspectHandler.java,1,1,1,1,2,0,2,0,,,,,1,0,0,4,,4,4,1,4,,0,0,1,3,,83,8,,,,18,11,2,,,57,,,,,,,,,,8,13,11,,,2,,,,,,,,1,1,1,1,,,0,,,,3,17,4,4,4,4
File,"AbstractContainerTask.java",AbstractContainerTask.java,1,1,1,1,13,0,7,5,,,,,1,0,0,8,,8,8,3,8,,0,0,7,1,,158,15,,,,83,36,20,,,60,,,,,,,,,,32,44,28,,,16,,,,,,,,3,3,3,1,,,2,,,,0,72,11,11,11,8
File,"AbstractConverter.java",AbstractConverter.java,2,2,2,1,18,1,10,7,,,,,1,0,0,2,,3,3,2,3,,0,0,1,2,,73,8,,,,30,11,9,,,35,,,,,,,,,,10,15,8,,,7,,,,,,,,3,3,3,1,,,1,,,,1,17,4,4,4,2
File,"AbstractMetamataTask.java",AbstractMetamataTask.java,1,1,1,1,9,0,7,1,,,,,1,2,0,19,,21,19,7,21,,0,0,13,8,,315,41,,,,162,58,95,,,113,,,,,,,,,,89,126,61,,,65,,,,,,,,5,5,5,1,,,3,,,,0,70,35,35,36,19
File,"AbstractScanner.java",AbstractScanner.java,9,9,10,7,47,2,32,11,,,,,1,3,1,10,,10,7,4,10,,0,0,8,2,,580,48,,,,349,73,234,,,190,,,,,,,,,,193,282,84,,,198,,,,,,,,28,28,35,28,,,4,,,,0,54,90,90,101,73
File,"AbstractTask.java",AbstractTask.java,4,4,4,1,23,0,18,5,,,,,1,0,0,2,,3,3,1,3,,0,0,0,3,,85,10,,,,45,20,24,,,30,,,,,,,,,,25,35,21,,,14,,,,,,,,8,8,8,1,,,6,,,,0,67,9,9,9,2
File,"AbstractTask.java",AbstractTask.java,1,1,1,1,5,0,3,2,,,,,1,0,0,4,,4,4,1,4,,0,0,1,3,,96,9,,,,20,11,4,,,67,,,,,,,,,,10,15,11,,,4,,,,,,,,1,1,1,1,,,0,,,,3,35,4,4,4,4
File,"AbstractTask.java",AbstractTask.java,1,1,1,1,9,0,3,5,,,,,1,0,0,4,,5,5,1,5,,0,0,1,4,,78,7,,,,29,17,2,,,42,,,,,,,,,,10,15,13,,,2,,,,,,,,1,1,1,1,,,0,,,,1,45,4,4,4,4
File,"AbstractTypeDef.java",AbstractTypeDef.java,1,1,1,1,9,0,8,0,,,,,1,0,0,7,,8,8,5,8,,0,0,3,5,,113,14,,,,83,39,24,,,16,,,,,,,,,,38,50,33,,,17,,,,,,,,4,4,4,1,,,1,,,,0,19,11,11,11,7
File,"AbstractXSLTLiaisonTest.java",AbstractXSLTLiaisonTest.java,1,1,1,1,7,0,7,0,,,,,1,0,0,6,,7,7,1,7,,0,0,4,3,,133,12,,,,58,28,30,,,63,,,,,,,,,,36,46,28,,,18,,,,,,,,2,2,2,1,,,1,,,,1,09,7,7,7,6
File,"AggregateTransformer.java",AggregateTransformer.java,1,1,1,1,10,0,7,2,,,,,5,2,3,17,,18,16,6,18,,4,2,4,8,,342,36,,,,184,90,90,,,123,,,,,,,,,,107,142,90,,,52,,,,,,,,5,5,5,1,,,2,,,,0,67,29,29,29,17
File,"And.java",And.java,2,2,2,1,8,0,8,0,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,83,6,,,,15,6,5,,,62,,,,,,,,,,7,7,5,,,2,,,,,,,,2,2,2,1,,,1,,,,4,13,2,2,2,1
File,"Ant.java",Ant.java,2,2,3,1,15,1,12,1,,,,,1,0,0,12,,12,12,7,12,,0,2,2,8,,289,35,,,,168,44,111,,,87,,,,,,,,,,87,124,46,,,78,,,,,,,,9,9,12,1,,,3,,,,0,52,35,35,38,12
File,"Ant1Project.java",Ant1Project.java,1,1,1,1,4,0,4,0,,,,,1,0,0,24,,24,24,2,24,,0,2,11,11,,153,23,,,,114,41,29,,,16,,,,,,,,,,41,69,36,,,33,,,,,,,,6,2,6,1,,,1,,,,0,14,31,27,31,24
File,"Ant1Tasklib.java",Ant1Tasklib.java,1,1,1,1,11,1,10,0,,,,,1,0,0,4,,4,4,3,4,,0,0,0,4,,91,13,,,,66,39,20,,,12,,,,,,,,,,35,41,31,,,10,,,,,,,,2,2,2,1,,,1,,,,0,18,5,5,5,4
File,"Ant1TypeFactory.java",Ant1TypeFactory.java,1,1,1,1,5,0,5,0,,,,,1,0,0,5,,5,5,0,5,,0,0,0,5,,57,9,,,,36,14,9,,,12,,,,,,,,,,12,19,12,,,7,,,,,,,,2,2,2,1,,,1,,,,0,33,6,6,6,5
File,"AntAspectHandler.java",AntAspectHandler.java,1,1,1,1,3,0,3,0,,,,,1,0,0,2,,2,2,1,2,,0,0,0,2,,75,5,,,,13,8,2,,,57,,,,,,,,,,7,10,8,,,2,,,,,,,,1,1,1,1,,,0,,,,4,38,2,2,2,2
File,"AntClassLoader.java",AntClassLoader.java,2,2,3,1,19,0,11,7,,,,,2,1,5,40,,40,39,15,40,,1,10,3,26,,985,105,,,,495,113,299,,,385,,,,,,,,,,208,314,114,,,200,,,,,,,,10,10,12,8,,,4,,,,0,78,114,114,121,62
File,"AntClassLoader.java",AntClassLoader.java,2,2,2,1,7,0,7,0,,,,,1,0,0,9,,9,9,2,9,,0,1,1,7,,150,16,,,,72,22,36,,,62,,,,,,,,,,32,51,20,,,31,,,,,,,,7,7,10,3,,,3,,,,0,86,18,18,22,11
File,"AntConverter.java",AntConverter.java,0,0,0,0,0,0,0,0,,,,,1,0,0,0,,1,1,0,1,,1,0,0,0,,65,2,,,,4,3,0,,,59,,,,,,,,,,2,3,3,,,0,,,,,,,,0,0,0,0,,,0,,,,14,75,0,0,0,0
File,"AntEngineListener.java",AntEngineListener.java,0,0,0,0,0,0,0,0,,,,,1,0,0,0,,7,7,0,7,,7,0,0,0,,72,6,,,,13,12,0,,,53,,,,,,,,,,11,12,12,,,0,,,,,,,,0,0,0,0,,,0,,,,4,08,0,0,0,0
File,"AntEvent.java",AntEvent.java,1,1,1,1,3,0,3,0,,,,,1,0,0,4,,4,4,1,4,,0,0,0,4,,80,8,,,,19,9,5,,,53,,,,,,,,,,9,14,9,,,5,,,,,,,,1,1,1,1,,,0,,,,2,79,4,4,4,4
File,"AntException.java",AntException.java,1,1,1,1,4,0,4,0,,,,,1,0,0,6,,6,6,1,6,,0,0,0,6,,52,12,,,,30,10,11,,,10,,,,,,,,,,12,21,10,,,11,,,,,,,,2,2,2,1,,,1,,,,0,33,8,8,8,6
File,"AntException.java",AntException.java,1,1,1,1,7,0,3,3,,,,,1,0,0,11,,11,11,4,11,,3,0,0,8,,138,21,,,,42,17,13,,,75,,,,,,,,,,18,30,17,,,13,,,,,,,,2,2,2,1,,,0,,,,1,79,12,12,12,11
File,"AntException.java",AntException.java,1,1,1,1,3,0,3,0,,,,,1,0,0,2,,2,2,0,2,,0,0,0,2,,65,3,,,,9,4,2,,,53,,,,,,,,,,3,6,4,,,2,,,,,,,,1,1,1,1,,,0,,,,5,89,2,2,2,2
File,"AntException.java",AntException.java,1,1,1,1,9,0,4,4,,,,,1,0,0,12,,12,12,2,12,,0,0,0,12,,205,16,,,,64,17,30,,,125,,,,,,,,,,26,44,17,,,27,,,,,,,,2,2,2,1,,,1,,,,1,95,15,15,15,12
File,"AntFrontEnd.java",AntFrontEnd.java,1,1,1,1,7,0,2,4,,,,,1,0,3,7,,8,8,0,8,,0,0,0,8,,103,22,,,,22,13,4,,,59,,,,,,,,,,6,14,13,,,1,,,,,,,,1,1,1,1,,,0,,,,2,68,7,7,7,7
File,"AntLibParser.java",AntLibParser.java,3,3,3,1,21,0,17,3,,,,,2,0,6,8,,8,8,4,8,,0,0,0,8,,285,22,,,,160,58,103,,,103,,,,,,,,,,73,96,48,,,48,,,,,,,,7,6,7,5,,,2,,,,0,64,25,24,26,12
File,"AntLibrary.java",AntLibrary.java,1,1,1,1,7,0,3,4,,,,,1,0,0,6,,6,6,3,6,,0,0,0,6,,137,14,,,,30,17,12,,,93,,,,,,,,,,16,23,17,,,6,,,,,,,,1,1,1,1,,,0,,,,3,10,6,6,6,6
File,"AntLocator.java",AntLocator.java,3,3,3,1,25,1,16,7,,,,,2,8,0,10,,10,2,0,10,,0,2,0,8,,331,30,,,,166,43,102,,,135,,,,,,,,,,69,104,41,,,63,,,,,,,,8,8,8,4,,,4,,,,0,81,34,34,36,19
File,"AntSecurityManager.java",AntSecurityManager.java,1,1,1,1,5,0,2,3,,,,,1,0,0,2,,2,2,0,2,,0,0,0,2,,27,3,,,,8,4,1,,,16,,,,,,,,,,2,5,4,,,1,,,,,,,,1,1,1,1,,,0,,,,2,00,2,2,2,2
File,"AntSoundPlayer.java",AntSoundPlayer.java,1,1,2,1,11,0,6,4,,,,,1,0,0,14,,14,14,6,14,,0,3,0,11,,270,35,,,,106,33,56,,,129,,,,,,,,,,43,68,32,,,36,,,,,,,,7,7,7,4,,,2,,,,1,22,26,26,28,17
File,"AntStarTeamCheckOut.java",AntStarTeamCheckOut.java,2,2,3,2,27,1,14,11,,,,,1,1,6,41,,41,40,16,41,,0,1,9,31,,1420,116,,,,613,131,299,,,695,,,,,,,,,,242,363,134,,,229,,,,,,,,28,28,35,28,,,4,,,,1,13,120,120,135,86
