Kind,Name,File,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineBlank_Html,CountLineBlank_Javascript,CountLineBlank_Php,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineCode_Javascript,CountLineCode_Php,CountLineComment,CountLineComment_Html,CountLineComment_Javascript,CountLineComment_Php,CountLine_Html,CountLine_Javascript,CountLine_Php,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtDecl_Javascript,CountStmtDecl_Php,CountStmtExe,CountStmtExe_Javascript,CountStmtExe_Php,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
Package,"(Unnamed_Package)",Junk1.java,2,2,2,1,9,1,6,6,,,,,32,18,0,,28,,0,20,18,,0,0,0,18,,256,28,,,,192,88,56,,,108,,,,,,,,,,56,124,88,,,36,,,,,,,,2,2,2,1,,,1,,,,0,56,36,36,36,18
Public Class,"A",A.java,0,0,0,0,0,0,0,0,1,0,0,0,,0,0,,,,0,0,0,0,0,0,0,0,,6,0,,,,6,3,0,,,0,,,,,,,,,,0,3,3,,,0,,,,,,,,0,0,0,0,,1,0,,0,0,0,00,0,0,0,0
Public Class,"A",A.java,0,0,0,0,0,0,0,0,1,0,0,0,,0,0,,,,0,0,0,0,0,0,0,0,,4,0,,,,4,2,0,,,0,,,,,,,,,,0,2,2,,,0,,,,,,,,0,0,0,0,,1,0,,0,0,0,00,0,0,0,0
Public Class,"A",A.java,0,0,0,0,0,0,0,0,1,1,1,0,,0,0,,,,0,1,0,0,0,0,0,0,,3,0,,,,3,2,1,,,0,,,,,,,,,,1,2,2,,,0,,,,,,,,0,0,0,0,,3,0,,0,0,0,00,0,0,0,0
Public Class,"A",A.java,0,0,0,0,0,0,0,0,1,1,1,0,,0,0,,,,0,1,0,0,0,0,0,0,,3,0,,,,3,2,1,,,0,,,,,,,,,,1,2,2,,,0,,,,,,,,0,0,0,0,,1,0,,0,0,0,00,0,0,0,0
Private Static Class,"A.Inner",A.java,0,0,0,0,0,0,0,0,1,0,0,0,,0,0,,,,0,0,0,0,0,0,0,0,,4,0,,,,4,2,0,,,0,,,,,,,,,,0,2,2,,,0,,,,,,,,0,0,0,0,,1,0,,0,0,0,00,0,0,0,0
Private Static Class,"A.Inner",A.java,0,0,0,0,0,0,0,0,1,0,0,0,,0,0,,,,0,0,0,0,0,0,0,0,,2,0,,,,2,1,0,,,0,,,,,,,,,,0,1,1,,,0,,,,,,,,0,0,0,0,,3,0,,0,0,0,00,0,0,0,0
Private Static Class,"A.Inner.Inner2",A.java,0,0,0,0,0,0,0,0,1,0,0,0,,0,0,,,,0,0,0,0,0,0,0,0,,2,0,,,,2,1,0,,,0,,,,,,,,,,0,1,1,,,0,,,,,,,,0,0,0,0,,3,0,,0,0,0,00,0,0,0,0
File,"A.java",A.java,1,1,1,1,3,0,3,0,,,,,1,2,1,3,,3,1,0,3,,0,0,1,2,,76,6,,,,17,7,6,,,53,,,,,,,,,,7,11,6,,,5,,,,,,,,1,1,1,1,,,0,,,,3,12,3,3,3,3
File,"A.java",A.java,0,0,0,0,0,0,0,0,,,,,3,0,0,0,,0,0,0,0,,0,0,0,0,,7,1,,,,6,3,0,,,0,,,,,,,,,,0,3,3,,,0,,,,,,,,0,0,0,0,,,0,,,,0,00,0,0,0,0
File,"A.java",A.java,0,0,0,0,0,0,0,0,,,,,2,0,0,0,,0,0,0,0,,0,0,0,0,,5,1,,,,4,2,0,,,0,,,,,,,,,,0,2,2,,,0,,,,,,,,0,0,0,0,,,0,,,,0,00,0,0,0,0
File,"A.java",A.java,0,0,0,0,0,0,0,0,,,,,1,0,0,0,,0,0,1,0,,0,0,0,0,,4,1,,,,3,2,1,,,0,,,,,,,,,,1,2,2,,,0,,,,,,,,0,0,0,0,,,0,,,,0,00,0,0,0,0
File,"A.java",A.java,0,0,0,0,0,0,0,0,,,,,2,0,0,0,,0,0,1,0,,0,0,0,0,,6,1,,,,5,3,1,,,0,,,,,,,,,,1,3,3,,,0,,,,,,,,0,0,0,0,,,0,,,,0,00,0,0,0,0
File,"ANTLR.java",ANTLR.java,1,1,2,1,10,0,7,2,,,,,1,0,0,22,,22,22,13,22,,0,4,1,17,,373,41,,,,191,65,99,,,141,,,,,,,,,,95,139,64,,,75,,,,,,,,8,8,8,4,,,3,,,,0,74,43,43,45,25
File,"ANTLRTest.java",ANTLRTest.java,1,1,1,1,4,0,3,1,,,,,3,0,1,18,,18,18,0,18,,0,0,0,18,,184,21,,,,70,29,25,,,93,,,,,,,,,,28,49,29,,,20,,,,,,,,1,1,1,1,,,0,,,,1,33,18,18,18,18
Class,"APrivate",A.java,0,0,0,0,0,0,0,0,1,0,0,0,,0,0,,,,0,0,0,0,0,0,0,0,,2,0,,,,2,1,0,,,0,,,,,,,,,,0,1,1,,,0,,,,,,,,0,0,0,0,,3,0,,0,0,0,00,0,0,0,0
File,"AbstractAnalyzer.java",AbstractAnalyzer.java,1,1,1,1,14,0,6,7,,,,,1,0,1,14,,16,16,7,16,,0,1,5,10,,321,26,,,,113,38,57,,,182,,,,,,,,,,53,82,38,,,44,,,,,,,,7,7,7,6,,,4,,,,1,61,27,27,27,19
File,"AbstractCvsTask.java",AbstractCvsTask.java,2,2,2,1,12,1,8,2,,,,,1,0,2,40,,40,40,19,40,,0,1,8,31,,709,103,,,,366,94,215,,,240,,,,,,,,,,157,245,93,,,152,,,,,,,,22,22,24,1,,,3,,,,0,66,89,89,95,40
File,"AbstractCvsTaskTest.java",AbstractCvsTaskTest.java,1,1,1,1,3,0,3,0,,,,,1,0,0,7,,7,7,0,7,,0,0,0,7,,100,10,,,,32,13,13,,,58,,,,,,,,,,16,24,13,,,11,,,,,,,,1,1,1,1,,,0,,,,1,81,7,7,7,7
File,"AbstractFileSet.java",AbstractFileSet.java,2,2,2,1,14,0,9,3,,,,,1,0,0,24,,24,24,7,24,,0,0,3,21,,482,52,,,,262,80,143,,,168,,,,,,,,,,134,192,78,,,114,,,,,,,,6,6,6,5,,,3,,,,0,64,61,61,64,31
File,"AbstractFileSetTest.java",AbstractFileSetTest.java,4,4,4,1,40,1,38,1,,,,,1,0,0,5,,6,6,1,6,,0,0,2,4,,283,18,,,,202,20,165,,,66,,,,,,,,,,94,117,20,,,97,,,,,,,,14,14,14,1,,,1,,,,0,33,22,22,22,5
