Kind,Name,File,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclInstanceVariableInternal,CountDeclInstanceVariablePrivate,CountDeclInstanceVariableProtected,CountDeclInstanceVariableProtectedInternal,CountDeclInstanceVariablePublic,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodInternal,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodProtectedInternal,CountDeclMethodPublic,CountDeclProperty,CountDeclPropertyAuto,CountInput,CountLine,CountLineBlank,CountLineBlank_Html,CountLineBlank_Javascript,CountLineBlank_Php,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineCode_Javascript,CountLineCode_Php,CountLineComment,CountLineComment_Html,CountLineComment_Javascript,CountLineComment_Php,CountLine_Html,CountLineInactive,CountLine_Javascript,CountLine_Php,CountLinePreprocessor,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtDecl_Javascript,CountStmtDecl_Php,CountStmtExe,CountStmtExe_Javascript,CountStmtExe_Php,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
Package,"(Unnamed_Package)",Task1.java,1,1,1,1,8,0,5,5,,,,,36,20,0,,32,,1,20,,,,,,21,,1,,0,0,,20,,,,324,39,,,,211,96,60,,,146,,,,,,,,,,,,61,136,96,,,40,,,,,,,,2,2,2,1,,,1,,,,0,69,39,39,39,21
Public Class,"A",A.java,0,0,0,0,0,0,0,0,1,0,0,0,,0,0,,,,0,0,,,,,,0,0,0,,0,0,,0,,,,4,0,,,,4,2,0,,,0,,,,,,,,,,,,0,2,2,,,0,,,,,,,,0,0,0,0,,1,0,,0,0,0,00,0,0,0,0
Public Class,"A",A.java,0,0,0,0,0,0,0,0,1,1,1,0,,0,0,,,,0,1,,,,,,0,0,0,,0,0,,0,,,,3,0,,,,3,2,1,,,0,,,,,,,,,,,,1,2,2,,,0,,,,,,,,0,0,0,0,,3,0,,0,0,0,00,0,0,0,0
Public Class,"A",A.java,0,0,0,0,0,0,0,0,1,0,0,0,,0,0,,,,0,0,,,,,,0,0,0,,0,0,,0,,,,6,0,,,,6,3,0,,,0,,,,,,,,,,,,0,3,3,,,0,,,,,,,,0,0,0,0,,1,0,,0,0,0,00,0,0,0,0
Public Class,"A",A.java,0,0,0,0,0,0,0,0,1,1,1,0,,0,0,,,,0,1,,,,,,0,0,0,,0,0,,0,,,,3,0,,,,3,2,1,,,0,,,,,,,,,,,,1,2,2,,,0,,,,,,,,0,0,0,0,,1,0,,0,0,0,00,0,0,0,0
Private Static Class,"A.Inner",A.java,0,0,0,0,0,0,0,0,1,0,0,0,,0,0,,,,0,0,,,,,,0,0,0,,0,0,,0,,,,2,0,,,,2,1,0,,,0,,,,,,,,,,,,0,1,1,,,0,,,,,,,,0,0,0,0,,3,0,,0,0,0,00,0,0,0,0
Private Static Class,"A.Inner",A.java,0,0,0,0,0,0,0,0,1,0,0,0,,0,0,,,,0,0,,,,,,0,0,0,,0,0,,0,,,,4,0,,,,4,2,0,,,0,,,,,,,,,,,,0,2,2,,,0,,,,,,,,0,0,0,0,,1,0,,0,0,0,00,0,0,0,0
Private Static Class,"A.Inner.Inner2",A.java,0,0,0,0,0,0,0,0,1,0,0,0,,0,0,,,,0,0,,,,,,0,0,0,,0,0,,0,,,,2,0,,,,2,1,0,,,0,,,,,,,,,,,,0,1,1,,,0,,,,,,,,0,0,0,0,,3,0,,0,0,0,00,0,0,0,0
File,"A.java",A.java,0,0,0,0,0,0,0,0,,,,,2,0,0,0,,0,0,0,,,,,,0,,0,,0,0,,0,,,,5,1,,,,4,2,0,,,0,,,,,,,,,,,,0,2,2,,,0,,,,,,,,0,0,0,0,,,0,,,,0,00,0,0,0,0
File,"A.java",A.java,0,0,0,0,0,0,0,0,,,,,3,0,0,0,,0,0,0,,,,,,0,,0,,0,0,,0,,,,7,1,,,,6,3,0,,,0,,,,,,,,,,,,0,3,3,,,0,,,,,,,,0,0,0,0,,,0,,,,0,00,0,0,0,0
File,"A.java",A.java,0,0,0,0,0,0,0,0,,,,,1,0,0,0,,0,0,1,,,,,,0,,0,,0,0,,0,,,,4,1,,,,3,2,1,,,0,,,,,,,,,,,,1,2,2,,,0,,,,,,,,0,0,0,0,,,0,,,,0,00,0,0,0,0
File,"A.java",A.java,0,0,0,0,0,0,0,0,,,,,2,0,0,0,,0,0,1,,,,,,0,,0,,0,0,,0,,,,6,1,,,,5,3,1,,,0,,,,,,,,,,,,1,3,3,,,0,,,,,,,,0,0,0,0,,,0,,,,0,00,0,0,0,0
File,"A.java",A.java,1,1,1,1,3,0,3,0,,,,,1,2,1,3,,3,1,0,,,,,,3,,0,,0,1,,2,,,,39,6,,,,17,7,6,,,16,,,,,,,,,,,,7,11,6,,,5,,,,,,,,1,1,1,1,,,0,,,,0,94,3,3,3,3
File,"ANTLR.java",ANTLR.java,2,2,2,1,12,0,8,3,,,,,1,0,0,24,,24,24,14,,,,,,24,,0,,4,2,,18,,,,414,44,,,,246,79,134,,,125,,,,,,,,,,,,115,168,74,,,94,,,,,,,,10,10,10,4,,,3,,,,0,51,52,52,56,27
File,"ANTLRTest.java",ANTLRTest.java,1,1,1,1,4,0,3,1,,,,,3,0,1,21,,21,21,0,,,,,,21,,0,,0,0,,21,,,,167,25,,,,88,32,37,,,54,,,,,,,,,,,,40,64,32,,,32,,,,,,,,1,1,1,1,,,0,,,,0,61,21,21,21,21
Class,"APrivate",A.java,0,0,0,0,0,0,0,0,1,0,0,0,,0,0,,,,0,0,,,,,,0,0,0,,0,0,,0,,,,2,0,,,,2,1,0,,,0,,,,,,,,,,,,0,1,1,,,0,,,,,,,,0,0,0,0,,3,0,,0,0,0,00,0,0,0,0
File,"AbstractAccessTask.java",AbstractAccessTask.java,1,1,1,1,8,0,4,4,,,,,1,0,0,6,,6,6,0,,,,,,6,,0,,0,1,,5,,,,105,12,,,,35,15,14,,,58,,,,,,,,,,,,15,22,14,,,8,,,,,,,,1,1,2,1,,,0,,,,1,66,6,6,7,6
File,"AbstractAnalyzer.java",AbstractAnalyzer.java,1,1,1,1,14,0,6,7,,,,,1,0,1,14,,16,16,7,,,,,,16,,0,,1,5,,10,,,,283,26,,,,113,38,57,,,144,,,,,,,,,,,,53,82,38,,,44,,,,,,,,7,7,7,6,,,4,,,,1,27,27,27,27,19
File,"AbstractCvsTask.java",AbstractCvsTask.java,2,2,2,1,14,1,8,5,,,,,1,0,3,42,,42,42,21,,,,,,42,,0,,1,8,,33,,,,813,105,,,,379,99,220,,,329,,,,,,,,,,,,163,254,98,,,156,,,,,,,,18,18,20,1,,,3,,,,0,87,92,92,99,42
File,"AbstractCvsTaskTest.java",AbstractCvsTaskTest.java,1,1,1,1,3,0,3,0,,,,,1,0,0,7,,7,7,0,,,,,,7,,0,,0,0,,7,,,,60,10,,,,32,13,13,,,18,,,,,,,,,,,,16,24,13,,,11,,,,,,,,1,1,1,1,,,0,,,,0,56,7,7,7,7
File,"AbstractFileSet.java",AbstractFileSet.java,1,1,2,1,11,0,6,4,,,,,1,0,0,51,,51,51,7,,,,,,51,,0,,0,3,,48,,,,695,61,,,,368,110,190,,,266,,,,,,,,,,,,173,265,112,,,153,,,,,,,,6,6,6,5,,,3,,,,0,72,99,99,104,60
File,"AbstractFileSetTest.java",AbstractFileSetTest.java,4,4,4,1,40,1,38,1,,,,,1,0,0,5,,6,6,1,,,,,,6,,0,,0,2,,4,,,,245,18,,,,202,20,165,,,28,,,,,,,,,,,,94,117,20,,,97,,,,,,,,14,14,14,1,,,1,,,,0,14,22,22,22,5
File,"AbstractHotDeploymentTool.java",AbstractHotDeploymentTool.java,1,1,1,1,8,0,3,4,,,,,1,0,0,12,,14,14,5,,,,,,14,,0,,0,2,,12,,,,193,23,,,,59,23,19,,,111,,,,,,,,,,,,25,42,23,,,19,,,,,,,,4,4,4,1,,,1,,,,1,88,16,16,16,12
File,"AbstractMetamataTask.java",AbstractMetamataTask.java,1,1,2,1,11,0,8,2,,,,,1,1,0,21,,23,22,7,,,,,,23,,0,,0,14,,9,,,,348,42,,,,201,79,115,,,107,,,,,,,,,,,,121,164,84,,,80,,,,,,,,6,6,6,1,,,3,,,,0,53,41,41,42,21
File,"AbstractSelectorContainer.java",AbstractSelectorContainer.java,1,1,1,1,8,0,3,4,,,,,1,0,0,26,,26,26,1,,,,,,26,,0,,0,0,,26,,,,287,35,,,,106,40,40,,,146,,,,,,,,,,,,41,73,39,,,34,,,,,,,,4,4,4,1,,,3,,,,1,38,31,31,31,26
File,"AbstractSshMessage.java",AbstractSshMessage.java,2,2,2,1,10,0,8,1,,,,,2,0,0,11,,12,12,3,,,,,,12,,0,,0,7,,5,,,,167,26,,,,106,39,57,,,35,,,,,,,,,,,,48,71,34,,,37,,,,,,,,7,7,7,1,,,4,,,,0,33,22,22,23,11
File,"AbstractXSLTLiaisonTest.java",AbstractXSLTLiaisonTest.java,1,1,1,1,7,0,7,0,,,,,1,0,0,6,,7,7,1,,,,,,7,,0,,0,4,,3,,,,95,12,,,,58,28,30,,,25,,,,,,,,,,,,36,46,28,,,18,,,,,,,,2,2,2,1,,,1,,,,0,43,7,7,7,6
File,"AddTypeTest.java",AddTypeTest.java,1,1,1,1,3,0,3,0,,,,,13,0,0,26,,26,26,3,,,,,,26,,0,,0,0,,26,,,,160,25,,,,118,51,33,,,17,,,,,,,,,,,,37,76,48,,,28,,,,,,,,1,1,1,1,,,0,,,,0,14,26,26,26,26
File,"AggregateTransformer.java",AggregateTransformer.java,1,1,1,1,8,0,6,2,,,,,2,1,4,12,,12,11,5,,,,,,12,,0,,0,4,,8,,,,192,25,,,,108,48,49,,,59,,,,,,,,,,,,57,80,47,,,33,,,,,,,,5,5,5,1,,,2,,,,0,55,20,20,20,12
File,"Algorithm.java",Algorithm.java,0,0,0,0,0,0,0,0,,,,,1,0,0,0,,2,2,0,,,,,,2,,2,,0,0,,0,,,,47,7,,,,6,5,0,,,34,,,,,,,,,,,,4,5,5,,,0,,,,,,,,0,0,0,0,,,0,,,,5,67,0,0,0,0
File,"AncestorAnalyzer.java",AncestorAnalyzer.java,5,5,6,2,33,2,22,8,,,,,1,0,0,3,,3,3,0,,,,,,3,,0,,0,2,,1,,,,137,13,,,,79,28,49,,,45,,,,,,,,,,,,51,64,33,,,31,,,,,,,,14,14,15,5,,,5,,,,0,57,17,17,18,7
File,"And.java",And.java,3,3,3,3,14,0,10,4,,,,,1,0,0,1,,1,1,0,,,,,,1,,0,,0,0,,1,,,,48,5,,,,15,7,6,,,28,,,,,,,,,,,,7,11,7,,,4,,,,,,,,3,3,3,3,,,2,,,,1,87,3,3,3,3
File,"AndSelector.java",AndSelector.java,2,2,2,1,13,0,8,5,,,,,1,0,0,3,,3,3,0,,,,,,3,,0,,0,0,,3,,,,76,9,,,,29,10,14,,,38,,,,,,,,,,,,14,21,10,,,11,,,,,,,,3,3,3,3,,,2,,,,1,31,6,6,6,5
File,"AnsiColorLogger.java",AnsiColorLogger.java,9,7,10,1,47,3,40,4,,,,,1,0,10,2,,2,2,6,,,,,,2,,0,,1,1,,0,,,,239,15,,,,111,46,76,,,113,,,,,,,,,,,,62,78,38,,,40,,,,,,,,11,11,11,1,,,2,,,,1,02,19,15,20,2
File,"Ant.java",Ant.java,2,2,3,1,19,1,12,6,,,,,3,0,0,30,,30,30,14,,,,,,30,,0,,7,0,,23,,,,737,78,,,,418,116,264,,,241,,,,,,,,,,,,193,280,112,,,168,,,,,,,,22,22,31,7,,,4,,,,0,58,88,88,99,38
File,"AntAnalyzer.java",AntAnalyzer.java,6,6,6,2,36,2,27,7,,,,,1,0,0,3,,3,3,0,,,,,,3,,0,,0,2,,1,,,,150,13,,,,95,37,60,,,42,,,,,,,,,,,,60,75,40,,,35,,,,,,,,16,16,17,5,,,5,,,,0,44,18,18,19,7
File,"AntClassLoader.java",AntClassLoader.java,2,2,2,1,21,0,10,10,,,,,2,1,5,52,,52,51,15,,,,,,52,,1,,9,7,,35,,,,1317,117,,,,587,162,356,,,616,,,,,,,,,,,,245,378,149,,,229,,,,,,,,10,10,12,8,,,4,,,,1,05,140,140,148,77
