Kind,Name,File,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineBlank_Html,CountLineBlank_Javascript,CountLineBlank_Php,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineCode_Javascript,CountLineCode_Php,CountLineComment,CountLineComment_Html,CountLineComment_Javascript,CountLineComment_Php,CountLine_Html,CountLine_Javascript,CountLine_Php,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtDecl_Javascript,CountStmtDecl_Php,CountStmtExe,CountStmtExe_Javascript,CountStmtExe_Php,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
Package,"(Unnamed_Package)",ClientOnlyExample.java,5,5,5,1,44,3,34,7,,,,,2,3,0,,1,,0,0,3,,0,2,0,1,,168,15,,,,114,22,54,,,39,,,,,,,,,,45,63,24,,,39,,,,,,,,7,7,7,1,,,4,,,,0,34,17,17,17,3
File,"AIOExecutorService.java",AIOExecutorService.java,1,1,1,1,19,0,4,14,,,,,1,0,0,14,,14,14,1,14,,0,0,0,14,,319,18,,,,78,35,13,,,223,,,,,,,,,,28,43,30,,,13,,,,,,,,1,1,1,1,,,0,,,,2,86,14,14,14,14
File,"AboutDialog.java",AboutDialog.java,1,1,1,1,12,1,11,0,,,,,2,2,1,4,,4,2,0,4,,0,0,0,4,,82,10,,,,55,19,31,,,17,,,,,,,,,,34,39,20,,,19,,,,,,,,1,1,1,1,,,0,,,,0,31,4,4,4,4
File,"AbstractColumnIterator.java",AbstractColumnIterator.java,1,1,1,1,3,0,3,0,,,,,1,0,0,2,,2,2,0,2,,0,0,0,2,,35,4,,,,11,5,1,,,20,,,,,,,,,,3,6,5,,,1,,,,,,,,1,1,1,1,,,0,,,,1,82,2,2,2,2
File,"AbstractEndpointSnitch.java",AbstractEndpointSnitch.java,3,3,5,3,19,0,19,0,,,,,2,0,0,3,,6,6,0,6,,0,0,0,6,,90,7,,,,46,11,23,,,37,,,,,,,,,,20,31,12,,,19,,,,,,,,8,8,14,8,,,2,,,,0,80,10,10,16,10
File,"AbstractReplicationStrategy.java",AbstractReplicationStrategy.java,2,2,2,1,13,1,11,1,,,,,1,0,1,10,,11,11,3,11,,1,1,0,9,,210,27,,,,133,45,58,,,51,,,,,,,,,,63,94,52,,,42,,,,,,,,8,8,10,5,,,4,,,,0,38,24,24,26,14
File,"AbstractStatsDeque.java",AbstractStatsDeque.java,1,1,1,1,6,0,6,0,,,,,1,0,0,5,,9,9,0,9,,0,0,0,9,,73,10,,,,42,17,13,,,21,,,,,,,,,,18,28,19,,,9,,,,,,,,2,2,2,1,,,1,,,,0,50,7,7,7,5
File,"AbstractType.java",AbstractType.java,2,2,2,1,11,0,10,0,,,,,2,0,0,5,,6,6,0,6,,0,0,0,6,,89,9,,,,48,12,17,,,32,,,,,,,,,,16,28,15,,,13,,,,,,,,4,4,4,3,,,1,,,,0,67,10,10,10,7
File,"AntiEntropyService.java",AntiEntropyService.java,2,2,2,1,15,0,11,3,,,,,10,4,11,37,,40,36,15,40,,11,5,0,24,,819,76,,,,496,147,232,,,248,,,,,,,,,,219,314,154,,,160,,,,,,,,9,9,9,6,,,3,,,,0,50,78,78,85,55
File,"AntiEntropyServiceTest.java",AntiEntropyServiceTest.java,1,1,1,1,14,1,9,2,,,,,2,0,4,11,,11,11,3,11,,1,0,0,10,,252,38,,,,164,73,84,,,50,,,,,,,,,,106,119,63,,,56,,,,,,,,1,1,1,1,,,0,,,,0,30,11,11,11,11
File,"ApplicationState.java",ApplicationState.java,1,1,1,1,5,0,4,0,,,,,2,1,1,8,,8,7,2,8,,2,0,0,6,,104,17,,,,55,21,14,,,32,,,,,,,,,,22,32,20,,,12,,,,,,,,1,1,1,1,,,0,,,,0,58,8,8,8,8
