Kind,Name,File,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineBlank_Html,CountLineBlank_Javascript,CountLineBlank_Php,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineCode_Javascript,CountLineCode_Php,CountLineComment,CountLineComment_Html,CountLineComment_Javascript,CountLineComment_Php,CountLine_Html,CountLine_Javascript,CountLine_Php,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtDecl_Javascript,CountStmtDecl_Php,CountStmtExe,CountStmtExe_Javascript,CountStmtExe_Php,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
Package,"(Unnamed_Package)",ClientOnlyExample.java,2,2,2,1,19,1,16,1,,,,,9,17,16,,4,,8,3,25,,0,13,2,10,,746,97,,,,531,183,292,,,120,,,,,,,,,,300,367,187,,,180,,,,,,,,7,7,9,1,,,3,,,,0.23,55,55,59,25
File,"AbstractBounds.java",AbstractBounds.java,2,2,2,1,8,0,7,0,,,,,3,1,2,9,,12,13,5,14,,0,0,0,14,,171,22,,,,100,38,38,,,49,,,,,,,,,,47,66,36,,,30,,,,,,,,5,5,5,3,,,2,,,,0.49,18,18,18,11
File,"AbstractByteOrderedPartitioner.java",AbstractByteOrderedPartitioner.java,1,1,1,1,10,0,9,1,,,,,2,0,2,15,,16,16,1,16,,0,2,0,14,,219,29,,,,157,43,74,,,34,,,,,,,,,,70,105,54,,,51,,,,,,,,7,7,7,1,,,3,,,,0.22,29,29,29,15
File,"AbstractCassandraDaemon.java",AbstractCassandraDaemon.java,3,3,3,1,22,1,15,5,,,,,3,1,2,14,,16,15,4,16,,0,0,4,12,,415,48,,,,256,60,121,,,112,,,,,,,,,,115,164,65,,,99,,,,,,,,16,16,19,1,,,3,,,,0.44,42,42,45,14
File,"AbstractColumnContainer.java",AbstractColumnContainer.java,1,1,1,1,4,0,4,0,,,,,1,0,1,28,,28,28,1,28,,0,0,1,27,,209,37,,,,142,46,38,,,31,,,,,,,,,,47,83,47,,,36,,,,,,,,4,4,4,4,,,2,,,,0.22,33,33,33,31
File,"AbstractColumnIterator.java",AbstractColumnIterator.java,1,1,1,1,3,0,3,0,,,,,1,0,0,2,,2,2,0,2,,0,0,0,2,,37,5,,,,12,6,1,,,20,,,,,,,,,,4,7,6,,,1,,,,,,,,1,1,1,1,,,0,,,,1.67,2,2,2,2
File,"AbstractCommitLogExecutorService.java",AbstractCommitLogExecutorService.java,1,1,1,1,4,0,4,0,,,,,1,0,0,5,,5,5,1,5,,0,0,0,5,,59,8,,,,28,11,6,,,23,,,,,,,,,,10,16,11,,,5,,,,,,,,1,1,1,1,,,0,,,,0.82,5,5,5,5
File,"AbstractCommutativeType.java",AbstractCommutativeType.java,1,1,1,1,4,0,4,0,,,,,1,0,0,3,,4,4,0,4,,0,0,0,4,,49,5,,,,21,10,3,,,23,,,,,,,,,,9,13,10,,,3,,,,,,,,1,1,1,1,,,0,,,,1.10,3,3,3,3
File,"AbstractCompactedRow.java",AbstractCompactedRow.java,1,1,1,1,4,0,4,0,,,,,1,0,0,1,,6,6,1,6,,0,0,0,6,,77,10,,,,18,13,1,,,49,,,,,,,,,,12,14,13,,,1,,,,,,,,1,1,1,1,,,0,,,,2.72,1,1,1,1
File,"AbstractCompactionIterable.java",AbstractCompactionIterable.java,1,1,1,1,9,0,9,0,,,,,1,0,1,2,,3,3,5,3,,0,0,0,3,,63,10,,,,33,16,13,,,20,,,,,,,,,,20,25,17,,,8,,,,,,,,2,2,2,1,,,1,,,,0.61,3,3,3,2
File,"AbstractCompactionStrategy.java",AbstractCompactionStrategy.java,1,1,1,1,10,0,7,2,,,,,2,1,0,7,,13,12,2,13,,0,0,1,12,,150,19,,,,64,29,19,,,67,,,,,,,,,,32,46,31,,,15,,,,,,,,3,3,3,1,,,2,,,,1.05,11,11,11,7
File,"AbstractCompactionTask.java",AbstractCompactionTask.java,1,1,1,1,5,0,4,1,,,,,1,0,0,8,,9,9,2,9,,0,0,1,8,,92,15,,,,50,20,13,,,27,,,,,,,,,,22,32,20,,,12,,,,,,,,2,2,3,1,,,1,,,,0.54,9,9,10,8
File,"AbstractCompositeType.java",AbstractCompositeType.java,2,2,3,2,16,1,14,0,,,,,3,4,0,13,,22,18,2,22,,4,0,9,9,,288,42,,,,207,73,120,,,42,,,,,,,,,,111,152,75,,,77,,,,,,,,12,12,13,10,,,3,,,,0.20,38,38,40,26
File,"AbstractDataInput.java",AbstractDataInput.java,2,2,2,1,21,0,8,12,,,,,1,0,0,14,,16,16,0,16,,0,0,2,14,,348,18,,,,129,33,76,,,202,,,,,,,,,,53,84,33,,,51,,,,,,,,8,6,8,7,,,3,,,,1.57,33,31,36,20
File,"AbstractEndpointSnitch.java",AbstractEndpointSnitch.java,1,1,1,1,8,0,5,3,,,,,2,0,0,4,,5,5,0,5,,0,0,0,5,,62,6,,,,26,9,7,,,30,,,,,,,,,,9,14,10,,,4,,,,,,,,1,1,1,1,,,0,,,,1.15,4,4,4,4
File,"AbstractJdbcType.java",AbstractJdbcType.java,0,0,0,0,0,0,0,0,,,,,1,0,0,0,,12,12,0,12,,0,0,0,12,,40,3,,,,17,15,0,,,20,,,,,,,,,,14,15,15,,,0,,,,,,,,0,0,0,0,,,0,,,,1.18,0,0,0,0
File,"AbstractJdbcUUID.java",AbstractJdbcUUID.java,1,1,1,1,4,0,4,0,,,,,1,0,0,9,,9,9,0,9,,0,0,0,9,,73,11,,,,42,13,9,,,20,,,,,,,,,,12,22,13,,,9,,,,,,,,1,1,1,1,,,0,,,,0.48,9,9,9,9
File,"AbstractModification.java",AbstractModification.java,1,1,1,1,5,0,4,0,,,,,1,0,1,9,,11,11,6,11,,0,0,0,11,,123,15,,,,62,28,15,,,46,,,,,,,,,,30,40,26,,,14,,,,,,,,2,2,2,1,,,0,,,,0.74,11,11,11,9
File,"AbstractNetworkTopologySnitch.java",AbstractNetworkTopologySnitch.java,7,7,13,7,24,2,22,0,,,,,1,0,0,1,,3,3,0,3,,0,0,0,3,,73,7,,,,30,13,19,,,36,,,,,,,,,,18,26,13,,,13,,,,,,,,7,7,13,7,,,1,,,,1.20,7,7,13,7
File,"AbstractPartitioner.java",AbstractPartitioner.java,2,2,2,1,8,0,8,0,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,30,1,,,,12,4,5,,,17,,,,,,,,,,4,7,4,,,3,,,,,,,,2,2,2,1,,,1,,,,1.42,2,2,2,1
File,"AbstractReplicationStrategy.java",AbstractReplicationStrategy.java,1,1,1,1,10,0,9,0,,,,,1,3,1,16,,19,16,5,19,,1,0,2,16,,263,34,,,,179,69,65,,,50,,,,,,,,,,78,112,64,,,48,,,,,,,,3,3,3,3,,,2,,,,0.28,29,29,29,18
File,"AbstractRowResolver.java",AbstractRowResolver.java,1,1,1,1,7,0,6,0,,,,,1,0,2,5,,5,5,3,5,,0,0,0,5,,91,12,,,,58,30,18,,,22,,,,,,,,,,33,41,30,,,11,,,,,,,,4,4,4,1,,,2,,,,0.38,8,8,8,5
File,"AbstractSSTableSimpleWriter.java",AbstractSSTableSimpleWriter.java,1,1,2,1,11,0,7,3,,,,,2,1,0,10,,13,12,6,13,,0,2,3,8,,168,20,,,,95,38,40,,,54,,,,,,,,,,49,67,40,,,27,,,,,,,,4,4,4,1,,,1,,,,0.57,18,18,20,10
File,"AbstractSerializationsTester.java",AbstractSerializationsTester.java,1,1,1,1,5,0,5,0,,,,,2,2,3,3,,3,1,0,3,,0,0,3,0,,63,7,,,,35,19,12,,,21,,,,,,,,,,21,25,18,,,7,,,,,,,,1,1,1,1,,,0,,,,0.60,3,3,3,3
