instanceID,classID,releaseID,CBO,CC,DIT,LCOM,LOC,NOC,RFC,WMC,class_frequency,number_of_changes,will_change,change_probability
1,12034374710165400000,8,0,2,0,0,210,0,0,1,8,4,0,0.5
2,10289339507547100000,8,0,2,0,0,2,0,0,1,8,0,0,0
3,9908887189178010000,8,21,9,0,0,33,0,18,4,8,2,0,0.25
4,8007120531121070000,8,1,7,2,0,11,0,2,2,6,0,0,0
5,5032441857547070000,8,1,2,0,0,3,0,1,1,8,0,0,0
6,16204472326459100000,8,0,1,0,0,2,0,0,1,8,0,0,0
7,3279614901801400000,8,0,2,0,0,2,0,0,1,6,0,0,0
8,7311703392341620000,8,3,6,0,0,11,0,1,1,6,0,0,0
9,13883148529922500000,8,0,7,0,0.4,16,0,0,3,2,0,0,0
10,666989867321885000,8,1,3,0,0,4,0,1,1,6,0,0,0
11,2059858352934530000,8,2,2,0,0,2,0,0,1,6,0,0,0
12,16761332322560200000,8,7,12,0,0,9,0,11,1,6,0,0,0
13,363597276408738000,8,10,26,0,0,21,0,17,1,6,0,0,0
14,12858399073466500000,8,5,2,0,0,5,0,0,1,6,0,0,0
15,538767796955159000,8,5,2,0,0,5,0,0,1,6,0,0,0
16,6322988089461020000,8,13,22,0,0,22,0,13,1,6,0,0,0
17,119666525103228000,8,5,2,0,0,5,0,0,1,6,0,0,0
18,16523068538633500000,8,6,14,0,0,12,0,6,1,6,0,0,0
19,10675970097558500000,8,9,14,0,0,14,0,9,1,6,0,0,0
20,13235419815328100000,8,7,4,0,0,7,0,1,1,6,0,0,0
21,7644443673332810000,8,6,2,0,0,5,0,0,1,6,0,0,0
22,3732289534626270000,8,7,4,0,0,7,0,1,1,6,0,0,0
23,6745671714170270000,8,5,2,0,0,5,0,0,1,6,0,0,0
24,11650085161013800000,8,6,2,7,0,3,0,1,1,6,0,0,0
25,705823965441508000,8,21,4,7,0,14,0,25,2,6,0,0,0
26,14448573687686300000,8,20,7,7,0,19,0,11,4,6,0,0,0
27,3662665604094010000,8,7,7,7,0,11,0,1,2,6,0,0,0
28,16489754911736900000,8,28,32,7,0.3,100,0,26,9,6,1,0,0.166666667
29,1376867370006690000,8,8,3,7,0,4,0,2,1,6,0,0,0
30,12188961383267200000,8,6,2,6,0,3,12,2,1,6,0,0,0
31,4272632607452260000,8,28,24,7,0.75,89,0,30,7,6,1,0,0.166666667
32,14790451708195300000,8,24,21,7,0.11,63,0,19,8,6,1,0,0.166666667
33,6046870016946200000,8,23,15,7,0.75,50,0,21,7,6,0,0,0
34,16784278302599900000,8,29,24,7,0.73,89,0,31,9,6,0,0,0
35,8448059858097530000,8,40,32,7,0.11,128,0,34,8,6,0,0,0
36,11501485293166200000,8,36,31,7,0.36,119,0,40,10,6,2,0,0.333333333
37,2032699160539640000,8,22,14,7,0.75,45,0,19,7,6,0,0,0
38,12821904100048600000,8,3,7,0,0,69,0,10,2,6,1,0,0.166666667
39,6183724307461120000,8,1,2,0,0,2,0,2,1,6,0,0,0
40,8110752352401370000,8,0,3,0,0,12,0,0,3,6,0,0,0
41,59455883250909100,8,0,3,0,0,7,0,0,1,6,0,0,0
42,1760631697232040000,8,4,1,0,0,16,0,4,1,6,0,0,0
43,642250337767138000,8,3,1,0,0,16,0,3,1,6,0,0,0
44,11625495680537900000,8,2,1,0,0,14,0,2,1,6,0,0,0
45,5256792565750220000,8,4,2,0,0,30,0,4,2,6,0,0,0
46,9008627070426370000,8,2,1,0,0,24,0,4,1,6,0,0,0
47,7987491551393450000,8,2,1,0,0,14,0,2,1,6,0,0,0
48,11914043862029600000,8,5,9,0,0,66,0,12,1,6,0,0,0
49,2621101904315990000,8,3,1,0,0,53,0,10,1,6,0,0,0
50,12330535103010800000,8,3,1,0,0,30,0,5,1,6,0,0,0
51,17718834335385200000,8,3,1,0,0,27,0,5,1,6,1,0,0.166666667
52,10086132970827500000,8,3,1,0,0,30,0,5,1,6,0,0,0
53,352269180384505000,8,2,1,0,0,14,0,2,1,6,0,0,0
54,12806131860581700000,8,8,73,0,0,278,0,46,21,6,0,0,0
55,11661319254065500000,8,9,4,0,0,21,0,11,1,6,0,0,0
56,13256513995510200000,8,17,26,0,0.54,51,0,25,12,6,0,0,0
57,5120380230823330000,8,12,12,0,0.56,39,0,15,8,6,0,0,0
58,8342725214105680000,8,13,4,0,0.5,11,0,6,3,6,0,0,0
59,4745566235454730000,8,13,9,0,0.6,20,0,10,4,6,0,0,0
60,9203413018515720000,8,8,6,0,0,18,0,7,1,6,0,0,0
61,5191702074174610000,8,17,43,0,0.35,107,0,27,16,6,0,0,0
62,1020408308067090000,8,11,14,0,0.5,34,0,15,5,6,0,0,0
63,12532200831695100000,8,13,4,0,0.5,11,0,6,3,6,0,0,0
64,1290048571602050000,8,13,2,0,0,7,0,6,1,6,0,0,0
65,2838776917771780000,8,13,2,0,0,7,0,6,1,6,0,0,0
66,1763159113737380000,8,14,2,0,0,9,0,7,1,6,0,0,0
67,6394391764156730000,8,12,16,0,0.61,29,0,22,5,6,0,0,0
68,8449865229693840000,8,14,22,0,0.33,46,0,27,5,6,0,0,0
69,9711438674336600000,8,18,49,0,0.29,70,0,32,6,6,0,0,0
70,1607237642681600000,8,13,2,0,0,7,0,6,1,6,0,0,0
71,11629025425017000000,8,13,2,0,0,7,0,6,1,6,0,0,0
72,11297746963483500000,8,11,4,0,0,9,0,18,1,6,0,0,0
73,13103624532371300000,8,5,2,0,0.5,6,0,1,1,6,0,0,0
74,13686089118630300000,8,8,4,0,0,10,0,10,1,6,0,0,0
75,3741725236513220000,8,13,13,0,0.33,41,0,21,2,6,0,0,0
76,7976621627129360000,8,22,2,0,0,12,0,17,1,6,0,0,0
77,11614657698239200000,8,14,4,0,0,11,0,9,1,6,0,0,0
78,5365356906327730000,8,7,6,0,0,10,0,12,1,6,0,0,0
79,14776773266497500000,8,10,8,0,0,30,0,15,1,6,0,0,0
80,13869324119283900000,8,17,19,0,0.47,40,0,26,4,6,0,0,0
81,799667424982616000,8,15,2,0,0,9,0,12,1,6,0,0,0
82,2797164749432800000,8,16,2,0,0,8,0,11,1,6,0,0,0
83,16308228420122900000,8,10,2,0,0,7,0,3,1,6,0,0,0
84,17078519245297100000,8,7,4,0,0,8,0,3,1,6,0,0,0
85,6437602036712080000,8,14,22,0,0,38,0,22,1,6,1,0,0.166666667
86,457412185561432000,8,13,2,0,0,7,0,6,1,6,0,0,0
87,9903322063526790000,8,16,2,0,0,8,0,11,1,6,0,0,0
88,13881208184047300000,8,13,2,0,0,7,0,6,1,6,0,0,0
89,6574278025838720000,8,0,6,0,0,0,0,0,6,6,0,0,0
90,18302551284955400000,8,7,29,0,0,109,0,4,7,6,1,0,0.166666667
91,13908287101155900000,8,4,12,2,0.67,14,0,2,0,6,0,0,0
92,3306859908612410000,8,1,3,0,0,4,0,0,0,6,0,0,0
93,6648655139944560000,8,1,3,0,0,4,0,0,0,6,0,0,0
94,1042187896498420000,8,5,3,2,0,5,0,4,0,6,0,0,0
95,9357538404892760000,8,1,3,0,0,4,0,0,0,6,0,0,0
96,11870522310766900000,8,1,3,0,0,4,0,0,0,6,0,0,0
97,1978036533065810000,8,5,3,2,0,5,0,4,0,6,0,0,0
98,6605223282184530000,8,5,3,2,0.33,5,0,4,0,6,0,0,0
99,7454922731054620000,8,5,5,2,0.33,7,0,4,0,6,0,0,0
100,564785171336188000,8,1,1,0,0,1,0,0,0,6,0,0,0
101,1676747455198770000,8,1,3,0,0,4,0,0,0,6,0,0,0
102,16461159486876700000,8,5,5,2,0.6,8,0,4,0,6,0,0,0
103,11933435787434400000,8,5,3,2,0.33,5,0,4,0,6,0,0,0
104,3161419665615240000,8,2,4,0,0.33,4,0,1,0,6,0,0,0
105,6233034132388470000,8,2,3,0,0,4,0,0,0,6,0,0,0
106,13937008663562900000,8,5,3,2,0,5,0,4,0,6,0,0,0
107,12237007531688900000,8,1,1,0,0,1,0,0,0,6,0,0,0
108,10422789401398500000,8,1,3,0,0,4,0,0,0,6,0,0,0
109,11074077664440600000,8,5,11,2,0.71,15,0,4,0,6,0,0,0
110,10247761976670100000,8,1,5,0,0.33,5,0,1,0,6,0,0,0
111,14510580436928200000,8,5,3,2,0,5,0,4,0,6,0,0,0
112,17229091082217000000,8,1,3,0,0,4,0,0,0,6,0,0,0
113,12730558311866000000,8,5,3,2,0,5,0,4,0,6,0,0,0
114,10468858011992600000,8,1,5,0,0.33,5,0,1,0,6,0,0,0
115,1783567973770270000,8,5,3,2,0,5,0,4,0,6,0,0,0
116,2661672391330710000,8,5,3,2,0.33,5,0,4,0,6,0,0,0
117,13290235604108400000,8,1,1,0,0,1,0,0,0,6,0,0,0
118,15777379820934200000,8,0,1,0,0,1,0,0,0,6,0,0,0
119,14314039482963300000,8,0,11,0,0,23,0,0,4,6,0,0,0
120,18342995453690000000,8,3,1,0,0,3,0,4,0,6,0,0,0
121,6199474443170320000,8,8,4,0,0,39,0,9,0,6,0,0,0
122,10628861916440300000,8,7,4,0,0,39,0,9,0,6,0,0,0
